full_name,age,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,goals_overall,goals_home,goals_away,goals_per_90_overall,goals_per_90_home,goals_per_90_away
Denis Odoi,34,2018/2019,Defender,Fulham,2593,1153,1440,0,0,0,0,0,0
Denis Suárez,28,2018/2019,Midfielder,Arsenal,67,29,38,0,0,0,0,0,0
Diego Rico,29,2018/2019,Defender,AFC Bournemouth,607,148,459,0,0,0,0,0,0
Diogo Dalot,23,2018/2019,Defender,Manchester United,1015,525,490,0,0,0,0,0,0
Diogo José Teixeira da Silva,25,2018/2019,Midfielder,Wolverhampton Wanderers,2371,1210,1161,9,7,2,0.34,0.52,0.16
Divock Origi,27,2018/2019,Forward,Liverpool,366,176,190,3,2,1,0.74,1.02,0.47
Domingos Quina,22,2018/2019,Midfielder,Watford,335,217,118,1,1,0,0.27,0.41,0
Dominic Calvert-Lewin,25,2018/2019,Forward,Everton,1774,1023,751,6,3,3,0.3,0.26,0.36
Dominic Solanke,25,2018/2019,Forward,AFC Bournemouth,341,165,176,0,0,0,0,0,0
Dwight McNeil,22,2018/2019,Forward,Burnley,1599,941,658,3,3,0,0.17,0.29,0
Eden Hazard,31,2018/2019,Midfielder,Chelsea,2926,1527,1399,16,11,5,0.49,0.65,0.32
Ederson,29,2018/2019,Goalkeeper,Manchester City,3420,1710,1710,0,0,0,0,0,0
Edward Nketiah,23,2018/2019,Forward,Arsenal,62,4,58,1,0,1,1.45,0,1.55
Elias Kachunga,30,2018/2019,Forward,Huddersfield Town,1181,611,570,0,0,0,0,0,0
Emerson Hyndman,26,2018/2019,Midfielder,AFC Bournemouth,37,0,37,0,0,0,0,0,0
Emerson Palmieri,28,2018/2019,Defender,Chelsea,660,360,300,0,0,0,0,0,0
Emile Smith Rowe,22,2018/2019,Midfielder,Arsenal,0,0,0,0,0,0,0,0,0
Emiliano Martínez,30,2018/2019,Goalkeeper,Arsenal,0,0,0,0,0,0,0,0,0
Eric Bailly,28,2018/2019,Defender,Manchester United,637,349,288,0,0,0,0,0,0
Eric Dier,28,2018/2019,Midfielder,Tottenham Hotspur,1510,674,836,3,2,1,0.18,0.27,0.11
Erik Durm,30,2018/2019,Defender,Huddersfield Town,2052,869,1183,0,0,0,0,0,0
Erik Lamela,30,2018/2019,Midfielder,Tottenham Hotspur,971,493,478,4,1,3,0.37,0.18,0.56
Ethan Ampadu,22,2018/2019,Midfielder,Chelsea,0,0,0,0,0,0,0,0,0
Étienne Capoue,34,2018/2019,Midfielder,Watford,2947,1518,1429,1,0,1,0.03,0,0.06
Fabián Balbuena,31,2018/2019,Defender,West Ham United,2014,934,1080,1,0,1,0.04,0,0.08
Fabian Delph,32,2018/2019,Midfielder,Manchester City,725,266,459,0,0,0,0,0,0
Fabian Schär,30,2018/2019,Defender,Newcastle United,2002,1173,829,4,3,1,0.18,0.23,0.11
Fabinho,29,2018/2019,Midfielder,Liverpool,2013,1051,962,1,1,0,0.04,0.09,0
Fabricio Martín Agosto Ramírez,34,2018/2019,Goalkeeper,Fulham,180,90,90,0,0,0,0,0,0
Faustino Marcos Alberto Rojo,32,2018/2019,Defender,Manchester United,211,211,0,0,0,0,0,0,0
Federico Fernández,33,2018/2019,Defender,Newcastle United,1484,607,877,0,0,0,0,0,0
